
********** Community [6] ************

Id: 2906, Community ID: 9, Is Centroid: False

Id: 2979, Community ID: 9, Is Centroid: False

Id: 2990, Community ID: 9, Is Centroid: False

Id: 3045, Community ID: 9, Is Centroid: False

Id: 3047, Community ID: 9, Is Centroid: False

Id: 3094, Community ID: 9, Is Centroid: False

Id: 3149, Community ID: 9, Is Centroid: False

Id: 3152, Community ID: 9, Is Centroid: False

Id: 3178, Community ID: 9, Is Centroid: False

Id: 3181, Community ID: 9, Is Centroid: False

Id: 3246, Community ID: 9, Is Centroid: False

Id: 3329, Community ID: 9, Is Centroid: False

Id: 3357, Community ID: 9, Is Centroid: False

Id: 3359, Community ID: 9, Is Centroid: False

Id: 3360, Community ID: 9, Is Centroid: False

Id: 3363, Community ID: 9, Is Centroid: False

Id: 3374, Community ID: 9, Is Centroid: False

Id: 3379, Community ID: 9, Is Centroid: False

Id: 3418, Community ID: 9, Is Centroid: False

Id: 3425, Community ID: 9, Is Centroid: False

Id: 3426, Community ID: 9, Is Centroid: False

Id: 3427, Community ID: 9, Is Centroid: False

Id: 3428, Community ID: 9, Is Centroid: False

Id: 3456, Community ID: 9, Is Centroid: False

Id: 3470, Community ID: 9, Is Centroid: False

Id: 3495, Community ID: 9, Is Centroid: False

Id: 3588, Community ID: 9, Is Centroid: False

Id: 3673, Community ID: 9, Is Centroid: False

Id: 3691, Community ID: 9, Is Centroid: False

Id: 3711, Community ID: 9, Is Centroid: False

Id: 3836, Community ID: 9, Is Centroid: False

Id: 3852, Community ID: 9, Is Centroid: False

Id: 3858, Community ID: 9, Is Centroid: False

Id: 3893, Community ID: 9, Is Centroid: False

Id: 3950, Community ID: 9, Is Centroid: False

Id: 3968, Community ID: 9, Is Centroid: False

Id: 3989, Community ID: 9, Is Centroid: False

Id: 4043, Community ID: 9, Is Centroid: False

Id: 4091, Community ID: 9, Is Centroid: False

Id: 4100, Community ID: 9, Is Centroid: False

Id: 4142, Community ID: 9, Is Centroid: False

Id: 4166, Community ID: 9, Is Centroid: False

Id: 4171, Community ID: 9, Is Centroid: False

Id: 4210, Community ID: 9, Is Centroid: False

Id: 4244, Community ID: 9, Is Centroid: False

Id: 4245, Community ID: 9, Is Centroid: False

Id: 4254, Community ID: 9, Is Centroid: False

Id: 4268, Community ID: 9, Is Centroid: False

Id: 4289, Community ID: 9, Is Centroid: False

Id: 4324, Community ID: 9, Is Centroid: False

Id: 4360, Community ID: 9, Is Centroid: False

Id: 4366, Community ID: 9, Is Centroid: False

Id: 4376, Community ID: 9, Is Centroid: False

Id: 4378, Community ID: 9, Is Centroid: False

Id: 4395, Community ID: 9, Is Centroid: False

Id: 4397, Community ID: 9, Is Centroid: False

Id: 4398, Community ID: 9, Is Centroid: False

Id: 4426, Community ID: 9, Is Centroid: False

Id: 4448, Community ID: 9, Is Centroid: False

