
********** Community [11] ************

********** Community [47] ************

Id: 47, Community ID: 47, Is Centroid: False

Id: 48, Community ID: 47, Is Centroid: False

Id: 3667, Community ID: 47, Is Centroid: False

Id: 3668, Community ID: 47, Is Centroid: False

Id: 3753, Community ID: 47, Is Centroid: True

Id: 3854, Community ID: 47, Is Centroid: False

********** Community [49] ************

Id: 49, Community ID: 49, Is Centroid: False

Id: 2170, Community ID: 49, Is Centroid: True

Id: 2556, Community ID: 49, Is Centroid: False

Id: 3082, Community ID: 49, Is Centroid: False

Id: 4808, Community ID: 49, Is Centroid: False

Id: 5930, Community ID: 49, Is Centroid: False

********** Community [56] ************

Id: 56, Community ID: 56, Is Centroid: True

Id: 1007, Community ID: 56, Is Centroid: False

Id: 1074, Community ID: 56, Is Centroid: False

Id: 2214, Community ID: 56, Is Centroid: False

Id: 4294, Community ID: 56, Is Centroid: False

Id: 4620, Community ID: 56, Is Centroid: False

********** Community [58] ************

Id: 58, Community ID: 58, Is Centroid: False

Id: 1018, Community ID: 58, Is Centroid: False

Id: 1281, Community ID: 58, Is Centroid: False

Id: 1331, Community ID: 58, Is Centroid: False

Id: 1962, Community ID: 58, Is Centroid: False

Id: 2119, Community ID: 58, Is Centroid: False

Id: 2508, Community ID: 58, Is Centroid: False

Id: 2614, Community ID: 58, Is Centroid: False

Id: 2723, Community ID: 58, Is Centroid: False

Id: 2778, Community ID: 58, Is Centroid: False

Id: 2810, Community ID: 58, Is Centroid: False

Id: 2896, Community ID: 58, Is Centroid: False

Id: 3388, Community ID: 58, Is Centroid: False

Id: 4229, Community ID: 58, Is Centroid: False

Id: 4621, Community ID: 58, Is Centroid: True

Id: 5707, Community ID: 58, Is Centroid: False

Id: 6393, Community ID: 58, Is Centroid: False

Id: 6451, Community ID: 58, Is Centroid: False

********** Community [64] ************

Id: 64, Community ID: 64, Is Centroid: True

Id: 268, Community ID: 64, Is Centroid: False

Id: 647, Community ID: 64, Is Centroid: False

Id: 898, Community ID: 64, Is Centroid: False

Id: 1886, Community ID: 64, Is Centroid: False

Id: 2144, Community ID: 64, Is Centroid: False

Id: 2213, Community ID: 64, Is Centroid: False

Id: 2335, Community ID: 64, Is Centroid: False

Id: 4698, Community ID: 64, Is Centroid: False

Id: 4701, Community ID: 64, Is Centroid: False

Id: 4716, Community ID: 64, Is Centroid: False

Id: 5050, Community ID: 64, Is Centroid: False

Id: 5112, Community ID: 64, Is Centroid: False

Id: 5232, Community ID: 64, Is Centroid: False

********** Community [65] ************

Id: 65, Community ID: 65, Is Centroid: False

Id: 953, Community ID: 65, Is Centroid: False

Id: 1806, Community ID: 65, Is Centroid: False

Id: 3155, Community ID: 65, Is Centroid: True

Id: 3904, Community ID: 65, Is Centroid: False

Id: 5366, Community ID: 65, Is Centroid: False

Id: 5782, Community ID: 65, Is Centroid: False

********** Community [70] ************

Id: 70, Community ID: 70, Is Centroid: True

Id: 2442, Community ID: 70, Is Centroid: False

Id: 3873, Community ID: 70, Is Centroid: False

Id: 4068, Community ID: 70, Is Centroid: False

Id: 6204, Community ID: 70, Is Centroid: False

Id: 6205, Community ID: 70, Is Centroid: False

********** Community [75] ************

Id: 75, Community ID: 75, Is Centroid: True

Id: 374, Community ID: 75, Is Centroid: False

Id: 376, Community ID: 75, Is Centroid: False

Id: 1507, Community ID: 75, Is Centroid: False

Id: 3417, Community ID: 75, Is Centroid: False

Id: 4120, Community ID: 75, Is Centroid: False

Id: 5142, Community ID: 75, Is Centroid: False

Id: 6232, Community ID: 75, Is Centroid: False

********** Community [81] ************

Id: 81, Community ID: 81, Is Centroid: False

Id: 344, Community ID: 81, Is Centroid: True

Id: 450, Community ID: 81, Is Centroid: False

Id: 782, Community ID: 81, Is Centroid: False

Id: 1687, Community ID: 81, Is Centroid: False

Id: 3039, Community ID: 81, Is Centroid: False

Id: 4836, Community ID: 81, Is Centroid: False

Id: 4911, Community ID: 81, Is Centroid: False

********** Community [86] ************

Id: 86, Community ID: 86, Is Centroid: True

Id: 1237, Community ID: 86, Is Centroid: False

Id: 2197, Community ID: 86, Is Centroid: False

Id: 2360, Community ID: 86, Is Centroid: False

Id: 2591, Community ID: 86, Is Centroid: False

Id: 2776, Community ID: 86, Is Centroid: False

Id: 3069, Community ID: 86, Is Centroid: False

Id: 3072, Community ID: 86, Is Centroid: False

Id: 6382, Community ID: 86, Is Centroid: False

********** Community [89] ************

Id: 89, Community ID: 89, Is Centroid: False

Id: 659, Community ID: 89, Is Centroid: False

Id: 661, Community ID: 89, Is Centroid: False

Id: 1198, Community ID: 89, Is Centroid: False

Id: 1865, Community ID: 89, Is Centroid: False

Id: 1948, Community ID: 89, Is Centroid: False

Id: 2256, Community ID: 89, Is Centroid: False

Id: 2674, Community ID: 89, Is Centroid: False

Id: 3111, Community ID: 89, Is Centroid: False

Id: 3129, Community ID: 89, Is Centroid: False

Id: 3449, Community ID: 89, Is Centroid: True

Id: 3681, Community ID: 89, Is Centroid: False

Id: 3682, Community ID: 89, Is Centroid: False

Id: 3932, Community ID: 89, Is Centroid: False

Id: 4288, Community ID: 89, Is Centroid: False

Id: 4452, Community ID: 89, Is Centroid: False

Id: 5139, Community ID: 89, Is Centroid: False

Id: 5630, Community ID: 89, Is Centroid: False

Id: 6350, Community ID: 89, Is Centroid: False

********** Community [93] ************

Id: 93, Community ID: 93, Is Centroid: False

Id: 1484, Community ID: 93, Is Centroid: True

Id: 2572, Community ID: 93, Is Centroid: False

Id: 4388, Community ID: 93, Is Centroid: False

Id: 4841, Community ID: 93, Is Centroid: False

Id: 6038, Community ID: 93, Is Centroid: False

Id: 6416, Community ID: 93, Is Centroid: False

********** Community [95] ************

Id: 95, Community ID: 95, Is Centroid: True

Id: 1371, Community ID: 95, Is Centroid: False

Id: 3438, Community ID: 95, Is Centroid: False

Id: 3699, Community ID: 95, Is Centroid: False

Id: 4138, Community ID: 95, Is Centroid: False

Id: 5424, Community ID: 95, Is Centroid: False

Id: 5577, Community ID: 95, Is Centroid: False

********** Community [96] ************

Id: 96, Community ID: 96, Is Centroid: True

Id: 427, Community ID: 96, Is Centroid: False

Id: 1446, Community ID: 96, Is Centroid: False

Id: 1621, Community ID: 96, Is Centroid: False

Id: 2840, Community ID: 96, Is Centroid: False

Id: 5045, Community ID: 96, Is Centroid: False

Id: 5445, Community ID: 96, Is Centroid: False

********** Community [97] ************

Id: 97, Community ID: 97, Is Centroid: True

Id: 2636, Community ID: 97, Is Centroid: False

Id: 3215, Community ID: 97, Is Centroid: False

Id: 3906, Community ID: 97, Is Centroid: False

Id: 4590, Community ID: 97, Is Centroid: False

Id: 5385, Community ID: 97, Is Centroid: False

********** Community [99] ************

Id: 99, Community ID: 99, Is Centroid: False

Id: 183, Community ID: 99, Is Centroid: False

Id: 592, Community ID: 99, Is Centroid: False

Id: 1116, Community ID: 99, Is Centroid: False

Id: 1425, Community ID: 99, Is Centroid: True

Id: 2389, Community ID: 99, Is Centroid: False

Id: 4204, Community ID: 99, Is Centroid: False

Id: 5017, Community ID: 99, Is Centroid: False

Id: 5615, Community ID: 99, Is Centroid: False

********** Community [106] ************

Id: 106, Community ID: 106, Is Centroid: False

Id: 171, Community ID: 106, Is Centroid: False

Id: 191, Community ID: 106, Is Centroid: False

Id: 871, Community ID: 106, Is Centroid: True

Id: 1581, Community ID: 106, Is Centroid: False

Id: 1599, Community ID: 106, Is Centroid: False

Id: 1975, Community ID: 106, Is Centroid: False

Id: 2169, Community ID: 106, Is Centroid: False

Id: 2406, Community ID: 106, Is Centroid: False

Id: 2592, Community ID: 106, Is Centroid: False

Id: 2632, Community ID: 106, Is Centroid: False

Id: 3081, Community ID: 106, Is Centroid: False

Id: 3513, Community ID: 106, Is Centroid: False

Id: 3759, Community ID: 106, Is Centroid: False

Id: 3955, Community ID: 106, Is Centroid: False

Id: 4010, Community ID: 106, Is Centroid: False

Id: 4321, Community ID: 106, Is Centroid: False

Id: 4434, Community ID: 106, Is Centroid: False

Id: 4606, Community ID: 106, Is Centroid: False

Id: 5024, Community ID: 106, Is Centroid: False

Id: 5711, Community ID: 106, Is Centroid: False

Id: 5814, Community ID: 106, Is Centroid: False

Id: 6228, Community ID: 106, Is Centroid: False

********** Community [107] ************

Id: 107, Community ID: 107, Is Centroid: False

Id: 126, Community ID: 107, Is Centroid: False

Id: 349, Community ID: 107, Is Centroid: True

Id: 685, Community ID: 107, Is Centroid: False

Id: 1755, Community ID: 107, Is Centroid: False

Id: 2092, Community ID: 107, Is Centroid: False

Id: 3300, Community ID: 107, Is Centroid: False

********** Community [108] ************

Id: 108, Community ID: 108, Is Centroid: False

Id: 247, Community ID: 108, Is Centroid: False

Id: 528, Community ID: 108, Is Centroid: False

Id: 536, Community ID: 108, Is Centroid: False

Id: 651, Community ID: 108, Is Centroid: False

Id: 794, Community ID: 108, Is Centroid: False

Id: 1092, Community ID: 108, Is Centroid: False

Id: 1097, Community ID: 108, Is Centroid: False

Id: 1172, Community ID: 108, Is Centroid: False

Id: 1194, Community ID: 108, Is Centroid: False

Id: 1403, Community ID: 108, Is Centroid: False

Id: 1845, Community ID: 108, Is Centroid: False

Id: 3705, Community ID: 108, Is Centroid: False

Id: 4404, Community ID: 108, Is Centroid: False

